state_name,date_local,aqi_o3
New Hampshire,2021-01-12,25.571428571428573
West Virginia,2021-01-12,29.666666666666668
Hawaii,2021-01-12,25.5
Idaho,2021-01-12,32.333333333333336
Nebraska,2021-01-12,21.0
Vermont,2021-01-12,24.666666666666668
Puerto Rico,2021-01-12,8.0
Ohio,2021-01-12,18.166666666666668
Utah,2021-01-12,27.000000000000004
Maine,2021-01-12,27.833333333333336
Texas,2021-01-12,27.041666666666664
Indiana,2021-01-12,18.487179487179489
Montana,2021-01-12,30.0
Arkansas,2021-01-12,30.624999999999996
Colorado,2021-01-12,36.205882352941188
Kentucky,2021-01-12,23.833333333333336
Maryland,2021-01-12,27.166666666666664
Michigan,2021-01-12,18.000000000000004
Oklahoma,2021-01-12,31.333333333333336
Virginia,2021-01-12,26.333333333333336
Louisiana,2021-01-12,28.23809523809523
Minnesota,2021-01-12,18.5
Tennessee,2021-01-12,28.8
New Jersey,2021-01-12,22.500000000000004
New Mexico,2021-01-12,31.950000000000003
Washington,2021-01-12,32.25
Connecticut,2021-01-12,23.0
Mississippi,2021-01-12,28.5
Pennsylvania,2021-01-12,21.489795918367346
Massachusetts,2021-01-12,24.5
South Carolina,2021-01-12,23.5
Alaska,2021-01-12,19.0
Rhode Island,2021-01-12,28.0
Iowa,2021-01-12,21.0
Kansas,2021-01-12,25.500000000000004
Nevada,2021-01-12,28.238095238095241
Florida,2021-01-12,23.603448275862071
Wyoming,2021-01-12,36.782608695652179
Illinois,2021-01-12,20.6
California,2021-01-12,22.24683544303797
North Dakota,2021-01-12,26.222222222222221
North Carolina,2021-01-12,31.285714285714285
Hawaii,2021-01-13,29.0
Ohio,2021-01-13,24.166666666666668
Oregon,2021-01-13,23.0
Arizona,2021-01-13,32.976190476190474
Arkansas,2021-01-13,35.25
Missouri,2021-01-13,26.0
California,2021-01-13,25.037974683544306
Washington,2021-01-13,32.666666666666664
Pennsylvania,2021-01-13,23.411764705882355
South Dakota,2021-01-13,32.333333333333329
New Hampshire,2021-01-13,24.428571428571427
Alaska,2021-01-13,19.0
Delaware,2021-01-13,27.857142857142858
Iowa,2021-01-13,19.0
Kansas,2021-01-13,25.111111111111111
Nevada,2021-01-13,26.142857142857146
Alabama,2021-01-13,17.5
Georgia,2021-01-13,25.0
Indiana,2021-01-13,23.923076923076923
Wyoming,2021-01-13,39.454545454545446
Illinois,2021-01-13,22.8
Kentucky,2021-01-13,30.5
Maryland,2021-01-13,30.666666666666668
Michigan,2021-01-13,18.285714285714285
Louisiana,2021-01-13,35.0
Tennessee,2021-01-13,32.8
Wisconsin,2021-01-13,20.2
New Jersey,2021-01-13,21.249999999999996
Connecticut,2021-01-13,17.75
North Dakota,2021-01-13,29.777777777777779
North Carolina,2021-01-13,30.0
South Carolina,2021-01-13,17.0
Idaho,2021-01-13,36.0
Nebraska,2021-01-13,24.5
Rhode Island,2021-01-13,25.0
Vermont,2021-01-13,24.333333333333332
District Of Columbia,2021-01-13,20.666666666666668
Utah,2021-01-13,31.518518518518512
Maine,2021-01-13,29.166666666666668
Texas,2021-01-13,31.416666666666661
Florida,2021-01-13,22.431034482758616
Montana,2021-01-13,38.125
Colorado,2021-01-13,37.857142857142854
New York,2021-01-13,19.592592592592595
Oklahoma,2021-01-13,31.599999999999998
Virginia,2021-01-13,28.222222222222218
Minnesota,2021-01-13,14.5
New Mexico,2021-01-13,32.7
Mississippi,2021-01-13,34.0
Massachusetts,2021-01-13,22.125000000000004
West Virginia,2021-01-13,30.333333333333332
Alaska,2021-01-14,21.5
Utah,2021-01-14,36.148148148148145
Alabama,2021-01-14,38.5
Arizona,2021-01-14,29.976190476190471
Montana,2021-01-14,34.624999999999993
Arkansas,2021-01-14,33.875000000000007
New York,2021-01-14,15.703703703703704
New Jersey,2021-01-14,16.750000000000004
New Mexico,2021-01-14,36.9
Mississippi,2021-01-14,38.5
Pennsylvania,2021-01-14,22.941176470588243
Massachusetts,2021-01-14,13.058823529411764
South Carolina,2021-01-14,30.75
Hawaii,2021-01-14,25.0
Nebraska,2021-01-14,29.5
Vermont,2021-01-14,15.0
Iowa,2021-01-14,23.0
Ohio,2021-01-14,28.0
Florida,2021-01-14,33.465517241379295
Indiana,2021-01-14,23.333333333333336
Wyoming,2021-01-14,39.434782608695642
Maryland,2021-01-14,27.666666666666668
Missouri,2021-01-14,25.5
Wisconsin,2021-01-14,21.0
Connecticut,2021-01-14,12.5
North Dakota,2021-01-14,31.777777777777779
West Virginia,2021-01-14,31.666666666666668
Delaware,2021-01-14,20.857142857142858
Idaho,2021-01-14,29.0
Rhode Island,2021-01-14,15.0
District Of Columbia,2021-01-14,27.0
Maine,2021-01-14,23.5
Texas,2021-01-14,35.366197183098578
Kansas,2021-01-14,32.222222222222221
Nevada,2021-01-14,25.9047619047619
Oregon,2021-01-14,18.0
Georgia,2021-01-14,39.5
Colorado,2021-01-14,40.714285714285708
Illinois,2021-01-14,22.0
Kentucky,2021-01-14,36.0
Michigan,2021-01-14,22.142857142857142
Oklahoma,2021-01-14,34.466666666666661
Virginia,2021-01-14,30.555555555555557
Louisiana,2021-01-14,39.545454545454547
Minnesota,2021-01-14,23.25
Tennessee,2021-01-14,36.8
California,2021-01-14,24.537500000000005
Washington,2021-01-14,29.5
South Dakota,2021-01-14,34.428571428571431
New Hampshire,2021-01-14,16.571428571428573
North Carolina,2021-01-14,23.571428571428573
Oregon,2021-01-15,9.0
Arizona,2021-01-15,37.238095238095248
Florida,2021-01-15,37.431034482758619
Georgia,2021-01-15,34.5
Wyoming,2021-01-15,37.818181818181813
Arkansas,2021-01-15,31.625
Maryland,2021-01-15,30.5
Missouri,2021-01-15,22.5
New York,2021-01-15,27.185185185185183
Louisiana,2021-01-15,35.545454545454547
